Temperature,Humidity,pH,Rainfall,Label
20.87974371,82.00274423,6.502985292000001,202.9355362,Rice
21.77046169,80.31964408,7.038096361,226.6555374,Rice
23.00445915,82.3207629,7.840207144,263.96424759999996,Rice
26.49109635,80.15836264,6.980400905,242.86403419999996,Rice
20.13017482,81.60487287,7.628472891,262.7173405,Rice
23.05804872,83.37011772,7.073453503,251.05499980000002,Rice
22.70883798,82.63941394,5.70080568,271.3248604,Rice
20.27774362,82.89408619,5.718627177999999,241.97419490000001,Rice
24.51588066,83.53521629999999,6.685346424,230.4462359,Rice
23.22397386,83.03322691,6.336253525,221.2091958,Rice
26.52723513,81.41753846,5.386167788,264.6148697,Rice
23.97898217,81.45061596,7.50283396,250.0832336,Rice
26.80079604,80.88684822,5.108681786,284.4364567,Rice
24.01497622,82.05687182,6.98435366,185.2773389,Rice
25.66585205,80.66385045,6.94801983,209.58697080000002,Rice
24.28209415,80.30025587,7.042299068999999,231.0863347,Rice
21.58711777,82.7883708,6.2490506560000005,276.65524589999995,Rice
23.79391957,80.41817957,6.970859754,206.2611855,Rice
21.8652524,80.1923008,5.953933276,224.55501690000003,Rice
23.57943626,83.58760316,5.85393208,291.29866180000005,Rice
21.32504158,80.47476396,6.442475375,185.49747319999997,Rice
25.15745531,83.11713476,5.070175667,231.38431630000002,Rice
21.94766735,80.97384195,6.012632591,213.3560921,Rice
21.0525355,82.67839517,6.254028451,233.1075816,Rice
23.48381344,81.33265073,7.375482851,224.0581164,Rice
25.0756354,80.52389148,7.778915154,257.0038865,Rice
26.35927159,84.04403589,6.2865001760000006,271.35861370000003,Rice
24.52922681,80.54498576,7.070959995,260.2634026,Rice
20.77576147,84.49774397,6.244841491,240.08106469999998,Rice
22.30157427,80.64416466,6.043304899,197.97912150000002,Rice
21.44653958,84.94375962,5.824709117,272.2017204,Rice
22.17931888,80.33127223,6.3573893660000005,200.0882787,Rice
24.52783742,82.73685569,6.364134967999999,224.67572310000003,Rice
20.26707606,81.63895217,5.01450727,270.4417274,Rice
25.7354293,83.88266234,6.149410611,233.1321372,Rice
26.79533926,82.1480873,5.950660556,193.34739869999999,Rice
26.75754171,81.17734011,5.960370061,272.29990560000005,Rice
23.86330467,83.15250801,5.561398642,285.2493645,Rice
21.01944696,82.95221726,7.416245107000001,298.40184710000005,Rice
24.17298839,83.7287574,5.583370042,257.0343554,Rice
22.78133816,82.06719137,6.430010215,248.7183228,Rice
25.62980105,83.52842314,5.534878156,209.9001977,Rice
25.59704938,80.14509262,6.903985986,200.834898,Rice
23.83067496,84.81360127,6.271478837999999,298.5601175,Rice
26.31355498,82.36698992,7.224285503,265.5355937,Rice
24.8972823,80.52586088,6.13428721,183.6793207,Rice
24.958779,84.47963372,5.206373153,196.95600080000003,Rice
23.24113501,84.59201843,7.782051312999999,233.0453455,Rice
21.66628296,80.70960551,7.062779015,210.8142087,Rice
24.63544858,80.41363018,7.730367824,253.7202781,Rice
23.43121862,83.06310136,5.286203711000001,219.9048349,Rice
20.0454142,80.3477562,6.766240045,208.5810155,Rice
23.85724032,82.22572988,7.382762603,195.0948311,Rice
21.97199397,81.89918197,5.658169482000001,227.3637009,Rice
